id,origin,lon,lat,site,latloncheck
1467,Sala - PEW,9.778,40.873,TAVOLARA,9.77840.873
1468,Sala - PEW,9.778,40.873,TAVOLARA,9.77840.873
1469,Sala - PEW,9.778,40.873,TAVOLARA,9.77840.873
1470,Sala - PEW,9.743,40.913,TAVOLARA,9.74340.913
1471,Sala - PEW,9.743,40.913,TAVOLARA,9.74340.913
1472,Sala - PEW,9.743,40.913,TAVOLARA,9.74340.913
1473,Sala - PEW,9.738,40.911,TAVOLARA,9.73840.911
1474,Sala - PEW,9.738,40.911,TAVOLARA,9.73840.911
1475,Sala - PEW,9.738,40.911,TAVOLARA,9.73840.911
1476,Sala - PEW,9.716,40.902,TAVOLARA,9.71640.902
1477,Sala - PEW,9.716,40.902,TAVOLARA,9.71640.902
1478,Sala - PEW,9.716,40.902,TAVOLARA,9.71640.902
1479,Sala - PEW,17.789,40.722,TORRE GUACETO,17.78940.722
1480,Sala - PEW,17.789,40.722,TORRE GUACETO,17.78940.722
1481,Sala - PEW,17.789,40.722,TORRE GUACETO,17.78940.722
1482,Sala - PEW,17.796,40.719,TORRE GUACETO,17.79640.719
1483,Sala - PEW,17.796,40.719,TORRE GUACETO,17.79640.719
1484,Sala - PEW,17.796,40.719,TORRE GUACETO,17.79640.719
1485,Sala - PEW,17.806,40.716,TORRE GUACETO,17.80640.716
1486,Sala - PEW,17.806,40.716,TORRE GUACETO,17.80640.716
1487,Sala - PEW,17.806,40.716,TORRE GUACETO,17.80640.716
1488,Sala - PEW,17.799,40.719,TORRE GUACETO,17.79940.719
1489,Sala - PEW,17.799,40.719,TORRE GUACETO,17.79940.719
1490,Sala - PEW,17.799,40.719,TORRE GUACETO,17.79940.719
1491,Sala - PEW,17.812,40.714,TORRE GUACETO,17.81240.714
1492,Sala - PEW,17.812,40.714,TORRE GUACETO,17.81240.714
1493,Sala - PEW,17.812,40.714,TORRE GUACETO,17.81240.714
1494,Sala - PEW,17.827,40.707,TORRE GUACETO,17.82740.707
1495,Sala - PEW,17.827,40.707,TORRE GUACETO,17.82740.707
1496,Sala - PEW,17.827,40.707,TORRE GUACETO,17.82740.707
1497,Sala - PEW,15.544,42.227,TREMITI,15.54442.227
1498,Sala - PEW,15.544,42.227,TREMITI,15.54442.227
1499,Sala - PEW,15.544,42.227,TREMITI,15.54442.227
1500,Sala - PEW,15.746,42.223,TREMITI,15.74642.223
1501,Sala - PEW,15.746,42.223,TREMITI,15.74642.223
1502,Sala - PEW,15.746,42.223,TREMITI,15.74642.223
1503,Sala - PEW,15.751,42.225,TREMITI,15.75142.225
1504,Sala - PEW,15.751,42.225,TREMITI,15.75142.225
1505,Sala - PEW,15.751,42.225,TREMITI,15.75142.225
1506,Belmaker,34.91514,32.61921,Habonim,34.9151432.61921
1507,Belmaker,34.91514,32.61921,Habonim,34.9151432.61921
1508,Belmaker,34.91514,32.61921,Habonim,34.9151432.61921
1509,Belmaker,34.91514,32.61921,Habonim,34.9151432.61921
1510,Belmaker,34.91514,32.61921,Habonim,34.9151432.61921
1511,Belmaker,34.91514,32.61921,Habonim,34.9151432.61921
1512,Belmaker,34.91514,32.61921,Habonim,34.9151432.61921
1513,Belmaker,34.91514,32.61921,Habonim,34.9151432.61921
1514,Belmaker,34.91514,32.61921,Habonim,34.9151432.61921
1515,Belmaker,34.91514,32.61921,Habonim,34.9151432.61921
1516,Belmaker,34.91514,32.61921,Habonim,34.9151432.61921
1517,Belmaker,34.91514,32.61921,Habonim,34.9151432.61921
1518,Belmaker,34.91514,32.61921,Habonim,34.9151432.61921
1519,Belmaker,34.91514,32.61921,Habonim,34.9151432.61921
1520,Belmaker,34.91514,32.61921,Habonim,34.9151432.61921
1521,Belmaker,34.91514,32.61921,Habonim,34.9151432.61921
1522,Belmaker,34.94961,32.81962,Shikmona,34.9496132.81962
1523,Belmaker,34.94961,32.81962,Shikmona,34.9496132.81962
1524,Belmaker,34.94961,32.81962,Shikmona,34.9496132.81962
